State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Candidate Won
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,1,AYAN MANDAL,All India Trinamool Congress,1717,4,1721,0.83,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,2,KULDEEP RAI SHARMA,Indian National Congress,95249,59,95308,45.98,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,3,PRAKASH MINJ,Bahujan Samaj Party,2478,8,2486,1.2,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,4,VISHAL JOLLY,Bharatiya Janata Party,93772,129,93901,45.3,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,5,SANJAY MESHACK,Aam Aadmi Party,2837,2,2839,1.37,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,6,C G SAJI KUMAR,All India Hindustan Congress Party,212,0,212,0.1,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,7,K KALIMUTHU,Independent,269,6,275,0.13,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,8,V V KHALID,Independent,305,1,306,0.15,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,9,GOUR CHANDRA MAJUMDER,Independent,221,0,221,0.11,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,10,PARITOSH KUMAR HALDAR,Independent,5339,2,5341,2.58,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,11,MINATI BISWAS,Independent,615,3,618,0.3,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,12,C U RASHEED,Independent,272,1,273,0.13,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,13,K VENKAT RAM BABU,Independent,914,0,914,0.44,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,14,S SUDERSHAN RAO,Independent,475,0,475,0.23,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,15,HENRY,Independent,994,0,994,0.48,loss
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,16,NOTA,None of the Above,1411,1,1412,0.68,loss
Andhra Pradesh,Amalapuram,1,AYYAJI VEMA MANEPALLI,Bharatiya Janata Party,11358,158,11516,0.94,loss
Andhra Pradesh,Amalapuram,2,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,442774,2573,445347,36.18,loss
Andhra Pradesh,Amalapuram,3,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,481358,3955,485313,39.43,loss
Andhra Pradesh,Amalapuram,4,JANGA GOUTHAM,Indian National Congress,7840,38,7878,0.64,loss
Andhra Pradesh,Amalapuram,5,CHELLE RAJANI,Jana Jagruti Party,1228,0,1228,0.1,loss
Andhra Pradesh,Amalapuram,6,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),1801,0,1801,0.15,loss
Andhra Pradesh,Amalapuram,7,MURALIKRISHNA KANDERI,India Praja Bandhu Party,1801,1,1802,0.15,loss
Andhra Pradesh,Amalapuram,8,MORTHA SIVA RAMA KRISHNA,Pyramid Party of India,1946,4,1950,0.16,loss
Andhra Pradesh,Amalapuram,9,D M R SEKHAR,Janasena Party,253271,1577,254848,20.7,loss
Andhra Pradesh,Amalapuram,10,REVU SUDHAKAR,Independent,2770,1,2771,0.23,loss
Andhra Pradesh,Amalapuram,11,NOTA,None of the Above,16408,41,16449,1.34,loss
Andhra Pradesh,Anakapalli,1,ADARI ANAND KUMAR,Telugu Desam,495381,1653,497034,40.13,loss
Andhra Pradesh,Anakapalli,2,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Bharatiya Janata Party,12888,388,13276,1.07,loss
Andhra Pradesh,Anakapalli,3,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,583210,3016,586226,47.33,loss
Andhra Pradesh,Anakapalli,4,Ruthala Srirama Murthy,Indian National Congress,10072,49,10121,0.82,loss
Andhra Pradesh,Anakapalli,5,P.S.AJAY KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),2708,8,2716,0.22,loss
Andhra Pradesh,Anakapalli,6,K B SWAROOP,Jana Jagruti Party,1615,6,1621,0.13,loss
Andhra Pradesh,Anakapalli,7,Chintala Partha Sarathi,Janasena Party,82126,462,82588,6.67,loss
